"Codigo","mun","Ano","Mes","Prectotalmes","spi1","spi3","spi6","spi9","spi12","spi15","spi18","spi21","spi24"
3545209,"SALTO",1996,12,121.922879555586,-0.653421649983601,0.0634942050879162,-0.181267180458413,-0.809866040296549,-0.585385535929765,-0.533424854165786,-0.469623946347749,-0.635464953293135,0.133277452928209
3545209,"SALTO",1997,1,268.187916086641,0.83885744998319,0.0639147701759246,0.44472520628214,-0.130868262842634,-0.139942061647178,-0.355593350006749,-0.426947452813796,-0.364409588294284,0.0380252237022352
3545209,"SALTO",1997,2,88.5881930557995,-0.743200785313759,-0.263440900883177,0.128160452760506,-0.193303470434238,-0.561228156968981,-0.416496189372987,-0.658126111425589,-0.555744592367315,-0.533029280601539
3545209,"SALTO",1997,3,64.4808869090309,-0.914034667391033,-0.307293756714227,-0.236536983191096,-0.388427855797151,-0.866108067453763,-0.700257564569238,-0.709739494803729,-0.655344296552729,-0.794141503946451
3545209,"SALTO",1997,4,63.1373943989909,0.316085994260887,-1.14312936817045,-0.599985738560989,-0.18994793468262,-0.627628686250269,-0.562576316642592,-0.715567182143064,-0.83020329196875,-0.736815945885849
3545209,"SALTO",1997,5,65.2523147326152,0.475069203390691,-0.457382413660925,-0.471435802599103,-0.102301523908801,-0.370255285278686,-0.682461346517008,-0.537692928387117,-0.71760968903184,-0.671457030673461
3545209,"SALTO",1997,6,142.460747186862,1.33548146397284,1.01880060333457,0.33217559227424,0.238169173745775,0.0785753397150759,-0.365394850517367,-0.313114435561135,-0.339443826407132,-0.30515184272222
3545209,"SALTO",1997,7,17.8055461508887,-0.114553254546899,0.905334519781373,-0.192330809731862,-0.127413092286534,0.143286602152322,-0.263858336223129,-0.263224440220011,-0.450438151673448,-0.539468720778863
3545209,"SALTO",1997,8,16.3916331264014,0.246365458441222,0.824252870887143,0.172299502172322,-0.139964968605016,0.132881404347594,-0.125139096976413,-0.438644011640883,-0.337167874090625,-0.496732597266005
3545209,"SALTO",1997,9,80.1795657533286,0.596227186856434,0.00460978443863968,0.690890861633284,0.213346684575872,0.146446056331281,0.00447031825446405,-0.406870753878753,-0.386160687951182,-0.37714268983024
3545209,"SALTO",1997,10,52.427377677017,-0.94525133518768,-0.539270000037016,0.298669263143415,-0.435217991689561,-0.322357605888639,-0.0630450230125484,-0.439797163647632,-0.420228007103636,-0.561989482778712
3545209,"SALTO",1997,11,232.291895054537,1.54535496367253,0.779529735301017,0.958952730021952,0.513958038422304,0.143914604299443,0.366298206777097,0.110993220200507,-0.209759883056547,-0.13405724466846
3545209,"SALTO",1997,12,162.053535694895,-0.0479077884680019,0.400842292825867,0.219666265817015,0.637675898741202,0.304522511154963,0.244621673748325,0.117259704123071,-0.268113140848251,-0.23537742159956
3545209,"SALTO",1998,1,171.031486122953,-0.218860490383867,0.528038884585657,0.157360295745533,0.454310228641627,-0.0472891037062018,-0.0819594978344375,0.117554487557093,-0.201314485962503,-0.211626355711801
3545209,"SALTO",1998,2,176.044953268565,0.440363831987431,-0.0597145866282892,0.31483648388736,0.513019136415934,0.272816154983064,0.0144403268612715,0.216340615502732,0.000808201313844666,-0.285532399169322
