TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude
1,17093100,FAZENDA DANIEL,PERSUP01,-11.4467,-58.8347
1,17093120,PONTE QUEBRADA,PERSUP02,-11.4125,-58.7872
1,24441200,PONTE DE BAIXO,GAR 114,-16.6169,-53.4164
1,24441300,RIBEIRÃO DA ONÇA,RON 54,-16.6747,-53.4686
1,24441400,RIBEIRÃO ÁGUA SUJA,RAS 44,-16.4083,-53.5475
1,24449000,ALCANTILADO,GAR 158,-16.4217,-53.5236
1,24449100,RIO BANDEIRA,BAN 60,-16.345,-53.7081
1,24449200,CÓRREGO ALDEIA,CAL 19,-16.1928,-53.6747
1,24451000,PASSARELA DO CORÉIA,GAR 199,-16.2206,-53.6011
1,24452000,SAÍDA PARA TORIXORÉU/TESOURO,GAR 224,-16.0775,-53.5483
1,26034500,PONTE NA MT-130,CUM78,-15.2008,-54.1153
1,86886000,RIACHO CASTELHANO,PF-12,-29.6414,-52.0036
1,86910000,PONTE DE ZINCO,PF-13,-29.7036,-52.0375
1,86920000,ARROIO SANTA CRUZ,PF-14,-29.775,-51.7472
1,85421000,SOTURNO,PF-15,-29.5956,-53.4333
1,85190000,LINHA JACUI-MIRIM,PF-16,-28.6731,-53.1672
1,85410000,PASSO SAINT CLAIR,PF-17,-29.5469,-53.3144
1,85381000,RINCÃO SÃO LUIZ,PF-18,-29.2769,-53.1447
1,85437000,VACACAÍ-MIRIM,PF-19,-29.775,-53.5639
1,85891000,RIO PARDO,PF-20,-29.9342,-52.4222
1,85436100,VILA RENASCENÇA,PF-21,-29.7058,-53.8328
1,85621000,ARROIO SÃO SEPÉ,PF-22,-30.185,-53.5586
1,44632000,RIO CANABRAVA (mont. Barragem),SFC080,-16.3389,-43.4042
1,44633000,BARRAGEM CANABRAVA (corpo da Barrag.),SFC085,-16.3383,-43.405
1,44634000,RIO CANABRAVA (jus. da Barragem),SFC090,-16.3294,-43.4178
1,88181000,UHE SEIVAL - ARROIO CANDIOTA JUSANTE,,-31.55,-53.6667
1,49790001,PIACABUÇÚ,,-10.4167,-36.4333
1,59213000,JUNDIÁ,F-45,-22.8656,-42.5564
1,66811000,MONTANTE CAPTAÇÃO D'ÁGUA CORUMBÁ,00MS22PA2076,-18.9933,-57.6603
1,54501000,RIO ARAÇUAI (cidade de Araçuai),JE017,-16.8542,-42.0792
1,42081200,RIO SANTA CRUZ (próx. a foz no Rio Jordão),SFC030,-16.3789,-44.2236
1,57820000,POSTO FISCAL,ITB1C010,-21.2058,-41.4628
1,59108000,PONTE E.F. C.ARARUAMA - QUISSAMA,,-22.0833,-41.6
1,59191500,SÍTIO PIABA,,-22.7,-42.3
1,60015000,PORTO DA BARRA,,-18.2983,-47.1236
1,60180000,PONTE PRETA,,-18.5833,-48.1167
1,41185400,CÓRREGO CARIOCA (mont. cidade Itabirito),AV090,-20.2564,-43.8214
1,57040005,VALSUGANA VELHA,,-19.9706,-40.5308
1,61410001,CAREAÇU,ANA,-22.0542,-45.6992
1,80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),CAMO00900,-23.9225,-46.7294
1,40510000,RIO PICÃO (mont. foz Rio Pará),PA017,-19.2908,-45.1481
1,64902600,PARAMENTO DE JUSANTE (U16-U17),,-25.4086,-54.5861
1,61760100,RIO GRANDE (pte. rod. SP-413),GRDE02300,-20.0242,-48.2344
1,61782200,RIO SAPUCAÍ-MIRIM (pte. Nuporanga S. J. B. Vista),SAMI02300,-20.6428,-47.6756
1,61787300,RIO SAPUCAÍ-MIRIM (pte. Guaira ),SAPU02800,-20.2267,-48.2289
1,64902650,PARAMENTO DE JUSANTE (U13-U14),,-25.4083,-54.5878
1,45810000,FAZENDA MELANCIA,,-13.6581,-44.6047
1,64902700,PARAMENTO DE JUSANTE  (U3-U4TE),,-25.4078,-54.5917
1,64902800,MONTANTE ENSECADEIRA  (LP-RM),,-25.4114,-54.5931
1,64902850,JUSANTE ENSECADEIRA  (CD-RM),,-25.4169,-54.59
1,64902900,JUSANTE ENSECADEIRA  (LP-RM),,-25.4158,-54.595
1,64902000,PEDRO ORTELLADO,ITAIPU,-25.4131,-54.6153
1,84270000,PCH RIO PALMEIRAS I JUSANTE,,-28.4197,-49.2458
1,60544100,JUSANTE DE SILVÂNIA,,-16.6544,-48.6097
1,14201000,COMUNIDADE SANTA LUZIA,,-3.2236,-59.9731
1,15950000,COMUNIDADE NOSSA SENHORA DO ROSÁRIO,,-3.5936,-58.9025
1,10051500,LA LIBERTAD,260201,-3.4625,-73.2406
1,10051800,SANTA CRUZ,240109,-3.5003,-73.1336
1,10051900,SANTA MARIA DE NANAY,240110,-3.0836,-73.6669
1,10054000,FLOR DE PUNGA,231302,-5.4056,-74.1583
1,10065000,SAN LORENZO,220111,-4.8167,-76.55
1,85641000,IRAPUÃ,PF-23,-30.2586,-53.1236
1,47180000,FAZENDA DAS PEDRAS,,-10.3989,-42.4794
1,49369000,CURRALINHO,,-9.7217,-37.6036
1,85661000,PIQUIRI,PF-24,-30.2467,-52.7639
1,85990010,ARROIO CONDE,PF-25,-30.0331,-51.8564
1,87039100,ARROIO DOS RATOS,PF-26,-30.1294,-51.7306
1,85161000,ARROIO GRANDE,PF-27,-28.6436,-53.0367
1,85397000,CORUPÁ,PF-28,-29.5508,-53.2483
1,85889000,RIO PARDO - SEDE,PF-29,-29.9756,-52.3819
1,15042100,PORTO UNIÃO,,-3.1964,-59.0925
1,73560000,PCH CONTESTADO JUSANTE,,-26.6764,-51.7217
1,73570000,PCH CORONEL ARAUJO JUSANTE,,-26.6767,-51.7575
1,56690500,PCH COCAIS GRANDE JUSANTE,,-19.5389,-42.7661
1,21291100,PCH SANTA EDWIGES II - JUSANTE,,-14.3697,-46.2369
1,61865500,PCH JACUTINGA SÃO LUÍS,,-22.27,-46.6042
1,20001150,ENGENHO VELHO - DF 150,,-15.5914,-47.8731
1,60436190,DESCOBERTO JUSANTE MELCHIOR,,-15.9411,-48.2522
1,60883000,PCH JATAÍ MONTANTE 2,,-17.6508,-52.0075
1,70846000,PCH SÃO BERNARDO - VERTEDOR,,-27.7397,-51.3014
1,83330000,IRAPUTÃ,,-26.5181,-50.1097
1,83340000,SALTO TAVARES,,-26.6011,-49.9069
1,70843000,PCH SÃO BERNARDO MONTANTE,,-27.8569,-51.3611
1,60886000,PCH JATAÍ MONTANTE 1,,-17.9258,-51.7497
1,60889000,PCH JATAÍ JUSANTE,,-17.9558,-51.7192
1,56820100,UHE PORTO ESTRELA JUSANTE,,-19.1222,-42.6619
1,58419010,VALE ALPINO,INEA,-22.2758,-42.865
1,40190000,PARI - COPASA,,-20.1675,-44.8986
1,41153050,PCH RIO DE PEDRAS RIO MARACUJÁ,,-20.2628,-43.6975
1,61566000,PCH POÇO FUNDO JUSANTE,,-21.7383,-45.9583
1,64464995,UHE MAUÁ TIBAGI MONTANTE,,-24.5122,-50.4111
1,58512040,UHE PICADA MONTANTE 1,,-21.7767,-43.6044
1,14215000,SÃO JOAQUIM,,1.7164,-69.3844
1,23150100,UHE ESTREITO RIO MANOEL ALVES PEQUENO,,-8.3914,-47.7658
1,60931000,UHE ESPORA PONTE JACUBA,,-18.3658,-52.4758
1,60935000,UHE ESPORA FAZENDA PERDIZES,,-18.4653,-52.3764
1,60941000,UHE ESPORA RIBEIRÃO CACHOEIRA DO CORRENTE,,-18.58,-52.0986
1,60943000,UHE ESPORA BARRAMENTO,,-18.6792,-51.8672
1,84018000,PCH SANTA ANA JUSANTE,,-27.4886,-49.0019
1,84022000,PCH ANGELINA MONTANTE,,-27.4783,-48.9761
1,65025500,HARAS RIO VERDE,AI89,-25.4564,-49.4619
1,15312000,EL SENA,,-11.4703,-67.2367
1,18409600,PCH PARANATINGA II BARRAMENTO,,-13.8517,-53.2558
1,37450000,BARRA DE SÃO PEDRO,,-6.4411,-37.3811
1,58774000,SANTO ANTÔNIO DE PÁDUA,0209SAP001,-21.5111,-42.2075
1,66483000,CGH SANTA PAULA JUSANTE,,-17.6053,-54.3756
1,58419020,SORVETERIA,INEA,-22.2756,-42.8642
1,58583000,RIO DAS FLORES,INEA,-22.1683,-43.5869
1,58826035,YPU,INEA,-22.2956,-42.5267
1,58826060,OLARIA,INEA,-22.3086,-42.5422
1,58826065,NOVA FRIBURGO,INEA,-22.2786,-42.5336
1,58826075,SÍTIO SANTA PAULA,INEA,-22.2681,-42.5725
1,60961050,PCH RETIRO VELHO JUSANTE,,-18.8297,-52.1717
1,24760000,PCH PIRANHAS MONTANTE,,-16.6164,-51.77
1,24765000,PCH PIRANHAS RIO AREIA,,-16.6,-51.8097
1,65480000,SALTO BONITO,COPEL,-26.1292,-51.3611
1,65490200,SALTO PALMEIRINHA,,-26.0408,-51.3747
1,65550050,LINHA ENGANO,,-26.1011,-51.5208
1,65687000,FAZENDA JACUTINGA,,-26.0844,-51.6247
1,65769500,LINHA SANTANA,COPEL,-25.9303,-51.3658
1,65771000,PIMPÃO BAIRRO CACHOEIRINHA,,-25.8767,-51.485
1,17229000,PCH CANOA QUEBRADA MONTANTE 2,,-13.2986,-55.9122
1,39650700,FLEXEIRAS,SEMARH - AL,-9.2836,-35.6933
1,39863000,CAJUEIRO,SEMARH - AL,-9.3756,-36.1608
1,39866000,CAPELA,SEMARH - AL,-9.3889,-36.11
1,39855000,PAULO JACINTO,SEMARH - AL,-9.3686,-36.3747
1,20013001,COR. PAULISTA LANÇAM. ÁGUAS LINDAS  - PT 01,,-15.6831,-48.2903
1,20013002,CÓRREGO PAULISTA PONTE - PT 02,,-15.6608,-48.2969
1,20013003,CÓRREGO PAULISTAMONT. VERDE - PT 03,,-15.6294,-48.3103
1,10080900,FRANCISCO DE ORELLAN,,-0.4731,-76.9825
1,10082800,NUEVO ROCAFUERTE,,-0.9167,-75.3964
1,58847000,PCH CAJU BARRAMENTO,,-21.8994,-42.0478
1,17260000,PCH CANOA QUEBRADA BARRAMENTO,,-12.7939,-56.0083
1,18630000,PCH SALTO TRÊS DE MAIO BARRAMENTO,,-8.75,-55.0325
1,63001230,PCH ALTO SUCURIÚ JUSANTE,,-19.245,-52.8794
1,60473120,QUINZE - DF 130,,-15.6839,-47.6539
1,60476160,SÃO BARTOLOMEU - JUSANTE PARANOÁ,,-15.8186,-47.705
1,20009000,SAL -  FAZENDA MONTE HOREBE,,-15.4811,-48.1075
1,56990100,UHE TRAVESSÃO JUSANTE,,-19.4875,-41.1056
1,60016500,UHE DAVINÓPOLIS JUSANTE,,-18.2136,-47.5208
1,60043000,UHE PARAÍSO JUSANTE,,-18.1311,-47.7017
1,27060000,RIO MARIA,,-7.3083,-50.0431
1,64620011,PCH RIO DOS PATOS BARRAMENTO,,-25.1761,-50.9408
1,82188000,PCH MARUMBI BARRAMENTO,,-25.4314,-48.9475
1,10018000,NUEVA LOJA,HB-23,0.0439,-76.8083
1,41718200,PCH QUARTEL I BARRAMENTO,,-18.6706,-43.8789
1,41718300,PCH QUARTEL I JUSANTE,,-18.6497,-43.9067
1,41718400,PCH QUARTEL II JUSANTE,,-18.6339,-43.9283
1,56924100,TABULEIRO,,-19.9019,-42.1358
1,56924800,CARATINGA,,-19.8381,-42.1372
1,56926100,UBAPORANGA,ANA,-19.5953,-42.1119
1,65975002,SALTO CAXIAS - JUS - L1,,-25.5331,-53.5
1,83027000,CGH ERNA HEIDRICH,,-27.0972,-50.0719
1,18470000,UHE SÃO FÉLIX,,-6.7978,-52.0006
1,18514000,UHE POMBAL,,-5.9178,-52.5908
1,18849100,UHE ALTAMIRA,,-3.2986,-52.2019
1,18901080,UHE BELO MONTE,,-3.1019,-51.7786
1,60792000,VERDE 8,,-17.6642,-50.4764
1,15256000,ARANJUEZ,,-16.5558,-68.0919
1,65958000,PCH BELA VISTA JUSANTE,,-25.8094,-52.9111
1,15258000,CHICANI,,-16.4822,-68.0767
1,15259000,HOLGUÍN,,-16.5206,-68.115
1,60897000,PCH IRARA MONTANTE,,-18.0167,-51.2019
1,86125500,PCH JARARACA BARRAMENTO,,-28.9381,-51.4656
1,86410050,PCH DA ILHA BALSA DO TURVO,,-28.8086,-51.4467
1,86430900,PCH DA ILHA BARRAMENTO,,-28.8925,-51.455
1,86431000,PRATINHA,,-28.8225,-51.4939
1,60898000,PCH IRARA JUSANTE,,-18.0725,-51.1711
1,76421010,PCH DOS GATOS,,-29.2664,-54.4339
1,76421020,PCH UMBU,,-29.3311,-54.4992
1,38450000,AÇUDE TRAIRÍ,,-6.2531,-35.8258
1,37780000,ESTUÁRIO RIO DOS CAVALOS,PIA18,-5.1725,-36.7172
1,87290000,PONTE DO CAI - BR-386,,-29.8222,-51.3497
1,85680500,BARRAGEM ANEL DOM MARCO - ECLUSA,DNIT,-30.09,-52.4956
1,84017000,BARRAGEM GARCIA,,-27.5486,-49.0067
1,17090300,PONTE BR-364 - (Rio Juruena),,-14.5425,-59.2319
1,17090550,RIO JURUENA,JUR225,-13.5514,-59.035
1,17091100,PONTE MT-235 (Rio Juina),,-13.7925,-59.4567
1,17091110,PONTE MT-235 (Rio Formiga),,-13.6833,-59.2031
1,17091500,PONTE MT-235 (Rio Buriti),,-13.5461,-58.6347
1,17091510,RIO PAPAGAIO - ILHA,,-13.5611,-58.4061
1,17092960,PONTE ANTIGA BR-364 (Rio Papagaio),,-12.7983,-58.3969
1,17091530,PONTE MT-235 (Rio Sacre),,-13.9003,-58.2575
1,17091540,PONTE MT-235 (Rio Verde),,-13.9689,-58.0761
1,17094200,PONTE MT-428 (Rio do Sangue),,-12.1092,-57.8731
1,88200000,PASO CENTURION,100,-32.1167,-53.7333
1,60884000,UHE BARRA DOS COQUEIROS FOZ RIBEIRÃO PARAISO,,-17.8197,-51.8233
1,70842000,PCH ESMERALDA MONTANTE 2,,-27.9631,-51.3375
1,70843500,PCH ESMERALDA ARROIO SÃO JOAQUIM,,-27.8572,-51.3814
1,70844200,PCH ESMERALDA MONTANTE 1,,-27.8197,-51.3753
1,21210000,FAZENDA ESPÍRITO SANTO,ANA,-15.3222,-47.3817
1,42430000,FAZENDA ELDORADO,,-15.6836,-47.1258
1,60472235,PIPIRIPAU,,-15.6144,-47.5456
1,60904000,UHE BARRA DOS COQUEIROS JUSANTE,,-18.7258,-51.0044
1,60890000,UHE CAÇU NAVISLÂNDIA,,-18.0856,-51.6175
1,79200000,FAZENDA SÃO JORGE,,-31.4533,-54.13
1,45299200,AÇUDE POÇO MAGRO,,-14.2572,-42.8192
